21-Oct-24 17:09:47 - 

-------------New Illumiante Operations Logging Instance
21-Oct-24 17:09:48 - Calling API token endpoing
21-Oct-24 17:09:48 - Succesfully retrieved API token
21-Oct-24 17:09:49 - Looped through 2 pages. Results for getting all assessments outputed into results frame
21-Oct-24 17:09:49 - Getting assessments for standard
21-Oct-24 17:09:49 - Getting assessments for standard
21-Oct-24 17:09:50 - Getting assessments for standard
21-Oct-24 17:09:50 - Getting assessments for standard
21-Oct-24 17:09:50 - Getting assessments for standard
21-Oct-24 17:09:51 - Getting assessments for standard
21-Oct-24 17:09:51 - Getting assessments for standard
21-Oct-24 17:09:52 - Getting assessments for standard
21-Oct-24 17:09:52 - Getting assessments for standard
21-Oct-24 17:09:52 - Getting assessments for standard
21-Oct-24 17:09:53 - Getting assessments for standard
21-Oct-24 17:09:53 - Getting assessments for standard
21-Oct-24 17:09:53 - Getting assessments for standard
21-Oct-24 17:09:54 - Getting assessments for standard
21-Oct-24 17:09:54 - Getting assessments for standard
21-Oct-24 17:09:54 - Getting assessments for standard
21-Oct-24 17:09:55 - Getting assessments for standard
21-Oct-24 17:09:55 - Getting assessments for standard
21-Oct-24 17:09:55 - Getting assessments for standard
21-Oct-24 17:09:56 - Getting assessments for standard
21-Oct-24 17:09:56 - Getting assessments for standard
21-Oct-24 17:09:57 - Getting assessments for standard
21-Oct-24 17:09:57 - Getting assessments for standard
21-Oct-24 17:09:57 - Getting assessments for standard
21-Oct-24 17:09:58 - Getting assessments for standard
21-Oct-24 17:09:58 - Getting assessments for standard
21-Oct-24 17:09:58 - Getting assessments for standard
21-Oct-24 17:10:00 - Getting assessments for standard
21-Oct-24 17:10:00 - Getting assessments for standard
21-Oct-24 17:10:01 - Getting assessments for standard
21-Oct-24 17:10:01 - Getting assessments for standard
21-Oct-24 17:10:02 - Getting assessments for standard
21-Oct-24 17:10:02 - Getting assessments for standard
21-Oct-24 17:10:03 - Getting assessments for standard
21-Oct-24 17:10:03 - Getting assessments for standard
21-Oct-24 17:10:03 - Getting assessments for standard
21-Oct-24 17:10:04 - Getting assessments for standard
21-Oct-24 17:10:04 - Getting assessments for standard
21-Oct-24 17:10:04 - Getting assessments for standard
21-Oct-24 17:10:05 - Getting assessments for standard
21-Oct-24 17:10:05 - Getting assessments for standard
21-Oct-24 17:10:06 - Getting assessments for standard
21-Oct-24 17:10:06 - Getting assessments for standard
21-Oct-24 17:10:06 - Getting assessments for standard
21-Oct-24 17:10:07 - Getting assessments for standard
21-Oct-24 17:10:07 - Getting assessments for standard
21-Oct-24 17:10:07 - Getting assessments for standard
21-Oct-24 17:10:08 - Getting assessments for standard
21-Oct-24 17:10:08 - Getting assessments for standard
21-Oct-24 17:10:09 - Getting assessments for standard
21-Oct-24 17:10:09 - Getting assessments for standard
21-Oct-24 17:10:10 - Getting assessments for standard
21-Oct-24 17:10:10 - Getting assessments for standard
21-Oct-24 17:10:10 - Getting assessments for standard
21-Oct-24 17:10:11 - Getting assessments for standard
21-Oct-24 17:10:11 - Getting assessments for standard
21-Oct-24 17:10:11 - Getting assessments for standard
21-Oct-24 17:10:12 - Getting assessments for standard
21-Oct-24 17:10:12 - Getting assessments for standard
21-Oct-24 17:10:12 - Getting assessments for standard
21-Oct-24 17:10:13 - Getting assessments for standard
21-Oct-24 17:10:13 - Getting assessments for standard
21-Oct-24 17:10:13 - Getting assessments for standard
21-Oct-24 17:10:14 - Getting assessments for standard
21-Oct-24 17:10:14 - Getting assessments for standard
21-Oct-24 17:10:14 - Getting assessments for standard
21-Oct-24 17:10:15 - Getting assessments for standard
21-Oct-24 17:10:15 - Getting assessments for standard
21-Oct-24 17:10:16 - Getting assessments for standard
21-Oct-24 17:10:16 - Getting assessments for standard
21-Oct-24 17:10:16 - Getting assessments for standard
21-Oct-24 17:10:17 - Getting assessments for standard
21-Oct-24 17:10:17 - Getting assessments for standard
21-Oct-24 17:10:17 - Getting assessments for standard
21-Oct-24 17:10:18 - Getting assessments for standard
21-Oct-24 17:10:18 - Getting assessments for standard
21-Oct-24 17:10:19 - Getting assessments for standard
21-Oct-24 17:10:19 - Getting assessments for standard
21-Oct-24 17:10:20 - Getting assessments for standard
21-Oct-24 17:10:20 - Getting assessments for standard
21-Oct-24 17:10:21 - Getting assessments for standard
21-Oct-24 17:10:21 - Getting assessments for standard
21-Oct-24 17:10:22 - Getting assessments for standard
21-Oct-24 17:10:22 - Getting assessments for standard
21-Oct-24 17:10:23 - Getting assessments for standard
21-Oct-24 17:10:23 - Getting assessments for standard
21-Oct-24 17:10:24 - Getting assessments for standard
21-Oct-24 17:10:24 - Getting assessments for standard
21-Oct-24 17:10:25 - Getting assessments for standard
21-Oct-24 17:10:26 - Getting assessments for standard
21-Oct-24 17:10:26 - Getting assessments for standard
21-Oct-24 17:10:27 - Getting assessments for standard
21-Oct-24 17:10:27 - Getting assessments for standard
21-Oct-24 17:10:28 - Getting assessments for standard
21-Oct-24 17:10:28 - Getting assessments for standard
21-Oct-24 17:10:29 - Getting assessments for standard
21-Oct-24 17:10:29 - Getting assessments for standard
21-Oct-24 17:10:30 - Getting assessments for standard
21-Oct-24 17:10:30 - Getting assessments for standard
21-Oct-24 17:10:31 - Getting assessments for standard
21-Oct-24 17:10:32 - Getting assessments for standard
21-Oct-24 17:10:32 - Getting assessments for standard
21-Oct-24 17:10:33 - Getting assessments for standard
21-Oct-24 17:10:33 - Getting assessments for standard
21-Oct-24 17:10:34 - Getting assessments for standard
21-Oct-24 17:10:34 - Getting assessments for standard
21-Oct-24 17:10:35 - Getting assessments for standard
21-Oct-24 17:10:35 - Getting assessments for standard
21-Oct-24 17:10:36 - Getting assessments for standard
21-Oct-24 17:10:36 - Getting assessments for standard
21-Oct-24 17:10:37 - Getting assessments for standard
